[19:14:26] 📍 Loaded 563 district venues
[19:14:26] 🚀 DISTRICT SCRAPER STARTED
[19:14:30] ⚠ 27716 status 403
[19:14:30] ⚠ 1013208 status 403
[19:14:30] ⚠ 4042 status 403
[19:14:30] ⚠ 24929 status 403
[19:14:30] ⚠ 1063761 status 403
[19:14:30] ⚠ 1016986 status 403
[19:14:30] ⚠ 1088790 status 403
[19:14:30] ⚠ 24351 status 403
[19:14:30] ⚠ 28214 status 403
[19:14:30] ⚠ 1020288 status 403
[19:14:30] ⚠ 1083399 status 403
[19:14:30] ⚠ 4217 status 403
[19:14:30] ⚠ 1037520 status 403
[19:14:30] ⚠ 1037142 status 403
[19:14:30] ⚠ 1088803 status 403
[19:14:30] ⚠ 7752 status 403
[19:14:30] ⚠ 1039424 status 403
[19:14:30] ⚠ 52996 status 403
[19:14:31] ⚠ 1036961 status 403
[19:14:31] ⚠ 1015795 status 403
[19:14:31] ⚠ 16791 status 403
[19:14:31] ⚠ 7222 status 403
[19:14:31] ⚠ 26401 status 403
[19:14:31] ⚠ 509 status 403
[19:14:31] ⚠ 1063452 status 403
[19:14:31] ⚠ 6093 status 403
[19:14:31] ⚠ 1008409 status 403
[19:14:31] ⚠ 5041 status 403
[19:14:31] ⚠ 30524 status 403
[19:14:31] ⚠ 1065451 status 403
[19:14:31] ⚠ 14166 status 403
[19:14:31] ⚠ 36879 status 403
[19:14:31] ⚠ 1039272 status 403
[19:14:31] ⚠ 9551 status 403
[19:14:31] ⚠ 1005797 status 403
[19:14:31] ⚠ 1041505 status 403
[19:14:31] ⚠ 4036 status 403
[19:14:31] ⚠ 1034324 status 403
[19:14:31] ⚠ 1008404 status 403
[19:14:31] ⚠ 9491 status 403
[19:14:31] ⚠ 4733 status 403
[19:14:31] ⚠ 7350 status 403
[19:14:31] ⚠ 9474 status 403
[19:14:32] ⚠ 4272 status 403
[19:14:32] ⚠ 1042439 status 403
[19:14:32] ⚠ 1012081 status 403
[19:14:32] ⚠ 4045 status 403
[19:14:32] ⚠ 1037506 status 403
[19:14:32] ⚠ 1031296 status 403
[19:14:32] ⚠ 1071622 status 403
[19:14:32] ⚠ 1025740 status 403
[19:14:32] ⚠ 4725 status 403
[19:14:32] ⚠ 14669 status 403
[19:14:32] ⚠ 1037523 status 403
[19:14:32] ⚠ 18823 status 403
[19:14:32] ⚠ 1027903 status 403
[19:14:32] ⚠ 1014990 status 403
[19:14:32] ⚠ 4715 status 403
[19:14:32] ⚠ 1065987 status 403
[19:14:32] ⚠ 5058 status 403
[19:14:32] ⚠ 1015840 status 403
[19:14:32] ⚠ 42945 status 403
[19:14:32] ⚠ 9132 status 403
[19:14:32] ⚠ 26640 status 403
[19:14:32] ⚠ 46485 status 403
[19:14:32] ⚠ 1052503 status 403
[19:14:32] ⚠ 1015442 status 403
[19:14:32] ⚠ 1064038 status 403
[19:14:32] ⚠ 51499 status 403
[19:14:32] ⚠ 4050 status 403
[19:14:32] ⚠ 1036772 status 403
[19:14:32] ⚠ 1041473 status 403
[19:14:32] ⚠ 1016381 status 403
[19:14:32] ⚠ 7137 status 403
[19:14:32] ⚠ 1041496 status 403
[19:14:32] ⚠ 1037514 status 403
[19:14:32] ⚠ 18460 status 403
[19:14:32] ⚠ 27219 status 403
[19:14:32] ⚠ 7679 status 403
[19:14:32] ⚠ 1020453 status 403
[19:14:32] ⚠ 1041458 status 403
[19:14:32] ⚠ 9136 status 403
[19:14:32] ⚠ 4051 status 403
[19:14:32] ⚠ 16522 status 403
[19:14:32] ⚠ 7618 status 403
[19:14:32] ⚠ 1041242 status 403
[19:14:32] ⚠ 1020547 status 403
[19:14:32] ⚠ 1037510 status 403
[19:14:32] ⚠ 1084553 status 403
[19:14:32] ⚠ 1041393 status 403
[19:14:32] ⚠ 9384 status 403
[19:14:32] ⚠ 5145 status 403
[19:14:32] ⚠ 1075745 status 403
[19:14:32] ⚠ 1037531 status 403
[19:14:32] ⚠ 3965 status 403
[19:14:32] ⚠ 1039840 status 403
[19:14:32] ⚠ 9194 status 403
[19:14:32] ⚠ 25571 status 403
[19:14:32] ⚠ 1015286 status 403
[19:14:32] ⚠ 1032461 status 403
[19:14:32] ⚠ 25045 status 403
[19:14:32] ⚠ 26281 status 403
[19:14:32] ⚠ 55466 status 403
[19:14:32] ⚠ 30784 status 403
[19:14:32] ⚠ 9174 status 403
[19:14:32] ⚠ 1032460 status 403
[19:14:32] ⚠ 7232 status 403
[19:14:32] ⚠ 1003767 status 403
[19:14:32] ⚠ 55853 status 403
[19:14:32] ⚠ 1016383 status 403
[19:14:32] ⚠ 1037491 status 403
[19:14:32] ⚠ 9246 status 403
[19:14:32] ⚠ 25181 status 403
[19:14:32] ⚠ 1037503 status 403
[19:14:32] ⚠ 1037527 status 403
[19:14:32] ⚠ 5182 status 403
[19:14:32] ⚠ 1007282 status 403
[19:14:32] ⚠ 1041239 status 403
[19:14:32] ⚠ 18164 status 403
