[00:27:00] 📍 Loaded 563 district venues
[00:27:00] 🚀 DISTRICT SCRAPER STARTED
[00:27:00] ⚠ 1044503 status 429
[00:27:00] ⚠ 1040891 status 429
[00:27:00] ⚠ 1031638 status 429
[00:27:00] ⚠ 1008705 status 429
[00:27:00] ⚠ 11264 status 429
[00:27:00] ⚠ 1049243 status 429
[00:27:00] ⚠ 1051040 status 429
[00:27:00] ⚠ 1076602 status 429
[00:27:00] ⚠ 1041688 status 429
[00:27:00] ⚠ 1037496 status 429
[00:27:00] ⚠ 1065383 status 429
[00:27:00] ⚠ 1024804 status 429
[00:27:00] ⚠ 1037228 status 429
[00:27:00] ⚠ 1039878 status 429
[00:27:00] ⚠ 1039847 status 429
[00:27:00] ⚠ 1078025 status 429
[00:27:00] ⚠ 7714 status 429
[00:27:00] ⚠ 1039860 status 429
[00:27:00] ⚠ 1030389 status 429
[00:27:00] ⚠ 1093265 status 429
[00:27:00] ⚠ 1094334 status 429
[00:27:00] ⚠ 1074151 status 429
[00:27:00] ⚠ 29998 status 429
[00:27:00] ⚠ 50915 status 429
[00:27:00] ⚠ 1027478 status 429
[00:27:00] ⚠ 1041672 status 429
[00:27:00] ⚠ 1047659 status 429
[00:27:00] ⚠ 1039875 status 429
[00:27:00] ⚠ 1031636 status 429
[00:27:00] ⚠ 4106 status 429
[00:27:00] ⚠ 1009194 status 429
[00:27:00] ⚠ 1041687 status 429
[00:27:00] ⚠ 1096733 status 429
[00:27:00] ⚠ 2855 status 429
[00:27:00] ⚠ 1024343 status 429
[00:27:00] ⚠ 1039864 status 429
[00:27:00] ⚠ 1001773 status 429
[00:27:00] ⚠ 9292 status 429
[00:27:00] ⚠ 25805 status 429
[00:27:00] ⚠ 1036959 status 429
[00:27:00] ⚠ 7258 status 429
[00:27:00] ⚠ 1039862 status 429
[00:27:00] ⚠ 1097120 status 429
[00:27:00] ⚠ 1088822 status 429
[00:27:00] ⚠ 1040466 status 429
[00:27:00] ⚠ 4097 status 429
[00:27:00] ⚠ 9242 status 429
[00:27:00] ⚠ 1018795 status 429
[00:27:00] ⚠ 1041685 status 429
[00:27:00] ⚠ 25803 status 429
