[19:11:52] 📍 Loaded 563 district venues
[19:11:52] 🚀 DISTRICT SCRAPER STARTED
[19:12:00] ⚠ 1041242 status 403
[19:12:00] ⚠ 1041458 status 403
[19:12:00] ⚠ 1084553 status 403
[19:12:00] ⚠ 1075745 status 403
[19:12:00] ⚠ 1041393 status 403
[19:12:00] ⚠ 9384 status 403
[19:12:00] ⚠ 25571 status 403
[19:12:00] ⚠ 1032461 status 403
[19:12:00] ⚠ 1039840 status 403
[19:12:00] ⚠ 9194 status 403
[19:12:00] ⚠ 25045 status 403
[19:12:00] ⚠ 7232 status 403
[19:12:00] ⚠ 30784 status 403
[19:12:00] ⚠ 1003767 status 403
[19:12:00] ⚠ 1037503 status 403
[19:12:00] ⚠ 1029684 status 403
[19:12:00] ⚠ 25181 status 403
[19:12:00] ⚠ 1041239 status 403
[19:12:00] ⚠ 1015975 status 403
[19:12:00] ⚠ 9285 status 403
[19:12:01] ⚠ 7293 status 403
[19:12:02] ⚠ 58822 status 403
[19:12:02] ⚠ 9044 status 403
[19:12:02] ⚠ 7312 status 403
[19:12:02] ⚠ 1028118 status 403
[19:12:02] ⚠ 7856 status 403
[19:12:02] ⚠ 28863 status 403
[19:12:02] ⚠ 4904 status 403
[19:12:02] ⚠ 4340 status 403
[19:12:02] ⚠ 6096 status 403
[19:12:02] ⚠ 1019687 status 403
[19:12:02] ⚠ 1050768 status 403
[19:12:02] ⚠ 4255 status 403
[19:12:02] ⚠ 27432 status 403
[19:12:02] ⚠ 4379 status 403
[19:12:02] ⚠ 5080 status 403
[19:12:02] ⚠ 7260 status 403
[19:12:02] ⚠ 1088778 status 403
[19:12:02] ⚠ 9131 status 403
[19:12:02] ⚠ 1398 status 403
[19:12:02] ⚠ 1041566 status 403
[19:12:02] ⚠ 1020350 status 403
[19:12:02] ⚠ 19289 status 403
[19:12:02] ⚠ 7627 status 403
[19:12:02] ⚠ 1026095 status 403
[19:12:02] ⚠ 30441 status 403
[19:12:02] ⚠ 4425 status 403
[19:12:02] ⚠ 1042822 status 403
[19:12:02] ⚠ 5105 status 403
[19:12:02] ⚠ 1039748 status 403
[19:12:02] ⚠ 1041495 status 403
[19:12:02] ⚠ 6079 status 403
[19:12:02] ⚠ 1041211 status 403
[19:12:02] ⚠ 1033524 status 403
[19:12:02] ⚠ 1054202 status 403
[19:12:02] ⚠ 19294 status 403
[19:12:02] ⚠ 1014297 status 403
[19:12:02] ⚠ 1041691 status 403
[19:12:02] ⚠ 26729 status 403
[19:12:02] ⚠ 10268 status 403
[19:12:02] ⚠ 1009967 status 403
[19:12:02] ⚠ 1031639 status 403
[19:12:02] ⚠ 1031640 status 403
[19:12:02] ⚠ 1055117 status 403
[19:12:02] ⚠ 29510 status 403
[19:12:02] ⚠ 24522 status 403
[19:12:02] ⚠ 9176 status 403
[19:12:02] ⚠ 1013662 status 403
[19:12:02] ⚠ 9780 status 403
[19:12:02] ⚠ 9497 status 403
[19:12:02] ⚠ 43960 status 403
[19:12:02] ⚠ 54684 status 403
[19:12:02] ⚠ 482 status 403
[19:12:02] ⚠ 1041684 status 403
[19:12:02] ⚠ 32811 status 403
[19:12:02] ⚠ 9291 status 403
[19:12:02] ⚠ 4881 status 403
[19:12:02] ⚠ 7308 status 403
[19:12:02] ⚠ 1066216 status 403
[19:12:02] ⚠ 984 status 403
[19:12:02] ⚠ 1039923 status 403
[19:12:02] ⚠ 12947 status 403
[19:12:02] ⚠ 1041782 status 403
[19:12:02] ⚠ 1041729 status 403
[19:12:02] ⚠ 1018796 status 403
[19:12:02] ⚠ 33645 status 403
[19:12:02] ⚠ 4714 status 403
[19:12:02] ⚠ 1089364 status 403
[19:12:02] ⚠ 1030384 status 403
[19:12:02] ⚠ 1056146 status 403
[19:12:02] ⚠ 9527 status 403
[19:12:02] ⚠ 22884 status 403
[19:12:02] ⚠ 1078620 status 403
[19:12:02] ⚠ 9653 status 403
[19:12:02] ⚠ 24767 status 403
[19:12:02] ⚠ 1039863 status 403
[19:12:02] ⚠ 476 status 403
[19:12:02] ⚠ 15614 status 403
[19:12:02] ⚠ 1008441 status 403
[19:12:02] ⚠ 5103 status 403
[19:12:02] ⚠ 1049289 status 403
[19:12:02] ⚠ 1065452 status 403
[19:12:02] ⚠ 6035 status 403
[19:12:02] ⚠ 1035939 status 403
[19:12:02] ⚠ 1075662 status 403
[19:12:02] ⚠ 14703 status 403
[19:12:02] ⚠ 3976 status 403
[19:12:02] ⚠ 1049288 status 403
[19:12:02] ⚠ 1027244 status 403
[19:12:02] ⚠ 1004633 status 403
[19:12:02] ⚠ 1041567 status 403
[19:12:02] ⚠ 1054736 status 403
[19:12:02] ⚠ 1019544 status 403
[19:12:02] ⚠ 62907 status 403
[19:12:02] ⚠ 27908 status 403
