[01:07:18] 📍 Loaded 563 district venues
[01:07:18] 🚀 DISTRICT SCRAPER STARTED
[01:07:27] ⚠ 1042605 status 403
[01:07:27] ⚠ 1041804 status 403
[01:07:27] ⚠ 1032901 status 403
[01:07:27] ⚠ 5220 status 403
[01:07:27] ⚠ 4889 status 403
[01:07:27] ⚠ 16523 status 403
[01:07:27] ⚠ 1041199 status 403
[01:07:27] ⚠ 14354 status 403
[01:07:27] ⚠ 1020338 status 403
[01:07:27] ⚠ 1056892 status 403
[01:07:27] ⚠ 4919 status 403
[01:07:27] ⚠ 1052727 status 403
[01:07:27] ⚠ 1041683 status 403
[01:07:27] ⚠ 4780 status 403
[01:07:27] ⚠ 4910 status 403
[01:07:27] ⚠ 17483 status 403
[01:07:27] ⚠ 9784 status 403
[01:07:27] ⚠ 9661 status 403
[01:07:27] ⚠ 7537 status 403
[01:07:27] ⚠ 29954 status 403
[01:07:27] ⚠ 1018468 status 403
[01:07:27] ⚠ 7826 status 403
[01:07:27] ⚠ 1006037 status 403
[01:07:27] ⚠ 27725 status 403
[01:07:27] ⚠ 1030383 status 403
[01:07:30] ⚠ 38446 status 403
[01:07:30] ⚠ 1009117 status 403
[01:07:30] ⚠ 4976 status 403
[01:07:30] ⚠ 1009010 status 403
[01:07:30] ⚠ 1032344 status 403
[01:07:30] ⚠ 1059680 status 403
[01:07:30] ⚠ 49852 status 403
[01:07:30] ⚠ 1056846 status 403
[01:07:30] ⚠ 1020755 status 403
[01:07:30] ⚠ 4124 status 403
[01:07:30] ⚠ 9292 status 403
[01:07:30] ⚠ 24880 status 403
[01:07:30] ⚠ 1088219 status 403
[01:07:30] ⚠ 1036955 status 403
[01:07:30] ⚠ 1021629 status 403
[01:07:30] ⚠ 39874 status 403
[01:07:30] ⚠ 1068242 status 403
[01:07:30] ⚠ 15526 status 403
[01:07:30] ⚠ 1025576 status 403
[01:07:30] ⚠ 9100 status 403
[01:07:30] ⚠ 9169 status 403
[01:07:30] ⚠ 9368 status 403
[01:07:30] ⚠ 9041 status 403
[01:07:30] ⚠ 4038 status 403
[01:07:30] ⚠ 1039864 status 403
[01:07:30] ⚠ 4890 status 403
[01:07:30] ⚠ 24246 status 403
[01:07:30] ⚠ 1054742 status 403
[01:07:30] ⚠ 1004635 status 403
[01:07:30] ⚠ 9504 status 403
[01:07:30] ⚠ 1082851 status 403
[01:07:30] ⚠ 31788 status 403
[01:07:30] ⚠ 10255 status 403
[01:07:30] ⚠ 1012136 status 403
[01:07:30] ⚠ 7504 status 403
[01:07:30] ⚠ 1053536 status 403
[01:07:30] ⚠ 1036114 status 403
[01:07:30] ⚠ 56144 status 403
[01:07:30] ⚠ 1053155 status 403
[01:07:30] ⚠ 10270 status 403
[01:07:30] ⚠ 1013355 status 403
[01:07:30] ⚠ 7511 status 403
[01:07:30] ⚠ 1028879 status 403
[01:07:30] ⚠ 4174 status 403
[01:07:30] ⚠ 24981 status 403
[01:07:30] ⚠ 1003803 status 403
[01:07:30] ⚠ 1011192 status 403
[01:07:30] ⚠ 1004634 status 403
[01:07:30] ✅ Fetched 4 venues with shows
[01:07:30] ✅ DONE | Shows=16 | Movies=2
