[18:28:22] 📍 Loaded 563 district venues
[18:28:22] 🚀 DISTRICT SCRAPER STARTED
[18:28:28] ⚠ 1031640 status 403
[18:28:28] ⚠ 43960 status 403
[18:28:28] ⚠ 1031639 status 403
[18:28:28] ⚠ 9780 status 403
[18:28:28] ⚠ 29510 status 403
[18:28:28] ⚠ 9176 status 403
[18:28:28] ⚠ 24522 status 403
[18:28:28] ⚠ 1013662 status 403
[18:28:28] ⚠ 54684 status 403
[18:28:28] ⚠ 33645 status 403
[18:28:28] ⚠ 32811 status 403
[18:28:28] ⚠ 9497 status 403
[18:28:28] ⚠ 1030384 status 403
[18:28:28] ⚠ 7308 status 403
[18:28:28] ⚠ 1055117 status 403
[18:28:28] ⚠ 10268 status 403
[18:28:28] ⚠ 12947 status 403
[18:28:28] ⚠ 1039923 status 403
[18:28:28] ⚠ 9291 status 403
[18:28:28] ⚠ 1018796 status 403
[18:28:28] ⚠ 1066216 status 403
[18:28:28] ⚠ 1041684 status 403
[18:28:28] ⚠ 1041729 status 403
[18:28:28] ⚠ 984 status 403
[18:28:28] ⚠ 9527 status 403
[18:28:28] ⚠ 482 status 403
[18:28:28] ⚠ 1041782 status 403
[18:28:28] ⚠ 1008441 status 403
[18:28:28] ⚠ 4714 status 403
[18:28:28] ⚠ 9653 status 403
[18:28:28] ⚠ 1065452 status 403
[18:28:28] ⚠ 1039863 status 403
[18:28:28] ⚠ 476 status 403
[18:28:28] ⚠ 1089364 status 403
[18:28:28] ⚠ 22884 status 403
[18:28:28] ⚠ 1075662 status 403
[18:28:28] ⚠ 6035 status 403
[18:28:28] ⚠ 1056146 status 403
[18:28:28] ⚠ 5103 status 403
[18:28:28] ⚠ 15614 status 403
[18:28:28] ⚠ 24767 status 403
[18:28:28] ⚠ 4881 status 403
[18:28:28] ⚠ 1019544 status 403
[18:28:28] ⚠ 1049288 status 403
[18:28:28] ⚠ 3976 status 403
[18:28:28] ⚠ 1035939 status 403
[18:28:28] ⚠ 1049289 status 403
[18:28:28] ⚠ 1078620 status 403
[18:28:28] ⚠ 14703 status 403
[18:28:28] ⚠ 1027244 status 403
[18:28:28] ⚠ 1041567 status 403
[18:28:28] ⚠ 1004633 status 403
[18:28:28] ⚠ 1054735 status 403
