[19:57:11] 📍 Loaded 563 district venues
[19:57:11] 🚀 DISTRICT SCRAPER STARTED
[19:57:19] ⚠ 1037514 status 403
[19:57:19] ⚠ 1020453 status 403
[19:57:19] ⚠ 9136 status 403
[19:57:19] ⚠ 16522 status 403
[19:57:19] ⚠ 4051 status 403
[19:57:19] ⚠ 5145 status 403
[19:57:19] ⚠ 1037510 status 403
[19:57:19] ⚠ 1020547 status 403
[19:57:19] ⚠ 1041242 status 403
[19:57:19] ⚠ 1041393 status 403
[19:57:19] ⚠ 1037531 status 403
[19:57:19] ⚠ 3965 status 403
[19:57:19] ⚠ 9384 status 403
[19:57:19] ⚠ 1015286 status 403
[19:57:19] ⚠ 1032461 status 403
[19:57:19] ⚠ 25571 status 403
[19:57:19] ⚠ 9174 status 403
[19:57:19] ⚠ 9194 status 403
[19:57:19] ⚠ 55466 status 403
[19:57:19] ⚠ 26281 status 403
[19:57:19] ⚠ 25045 status 403
[19:57:19] ⚠ 1032460 status 403
[19:57:19] ⚠ 7232 status 403
[19:57:19] ⚠ 1037527 status 403
[19:57:19] ⚠ 1016383 status 403
[19:57:19] ⚠ 55853 status 403
[19:57:19] ⚠ 1029684 status 403
[19:57:19] ⚠ 9246 status 403
[19:57:20] ⚠ 18164 status 403
[19:57:20] ⚠ 19513 status 403
[19:57:22] ⚠ 29510 status 403
[19:57:22] ⚠ 43960 status 403
[19:57:22] ⚠ 24522 status 403
[19:57:22] ⚠ 7308 status 403
[19:57:23] ⚠ 1013662 status 403
[19:57:23] ⚠ 1055117 status 403
[19:57:23] ⚠ 54684 status 403
[19:57:23] ⚠ 9780 status 403
[19:57:23] ⚠ 9497 status 403
[19:57:23] ⚠ 32811 status 403
[19:57:23] ⚠ 33645 status 403
[19:57:23] ⚠ 1066216 status 403
[19:57:23] ⚠ 984 status 403
[19:57:23] ⚠ 12947 status 403
[19:57:23] ⚠ 1041684 status 403
[19:57:23] ⚠ 482 status 403
[19:57:23] ⚠ 1039923 status 403
[19:57:23] ⚠ 1041729 status 403
[19:57:23] ⚠ 1041782 status 403
[19:57:23] ⚠ 4714 status 403
[19:57:23] ⚠ 4881 status 403
[19:57:23] ⚠ 1018796 status 403
[19:57:23] ⚠ 1030384 status 403
[19:57:23] ⚠ 22884 status 403
[19:57:23] ⚠ 476 status 403
[19:57:23] ⚠ 9653 status 403
