[20:45:45] 📍 Loaded 563 district venues
[20:45:45] 🚀 DISTRICT SCRAPER STARTED
[20:45:50] ⚠ 16791 status 403
[20:45:50] ⚠ 15527 status 403
[20:45:50] ⚠ 509 status 403
[20:45:50] ⚠ 4332 status 403
[20:45:50] ⚠ 44366 status 403
[20:45:50] ⚠ 1008409 status 403
[20:45:50] ⚠ 1005991 status 403
[20:45:50] ⚠ 1041753 status 403
[20:45:50] ⚠ 32294 status 403
[20:45:50] ⚠ 25938 status 403
[20:45:50] ⚠ 1008335 status 403
[20:45:50] ⚠ 522 status 403
[20:45:50] ⚠ 4739 status 403
[20:45:50] ⚠ 1039842 status 403
[20:45:50] ⚠ 9413 status 403
[20:45:51] ⚠ 4272 status 403
[20:45:51] ⚠ 1042439 status 403
[20:45:51] ⚠ 1031296 status 403
[20:45:51] ⚠ 1037506 status 403
[20:45:51] ⚠ 4045 status 403
[20:45:51] ⚠ 1071622 status 403
[20:45:51] ⚠ 1012081 status 403
[20:45:51] ⚠ 14669 status 403
[20:45:51] ⚠ 1025740 status 403
[20:45:51] ⚠ 18823 status 403
[20:45:51] ⚠ 5058 status 403
[20:45:51] ⚠ 4725 status 403
[20:45:51] ⚠ 9132 status 403
[20:45:51] ⚠ 1027903 status 403
[20:45:51] ⚠ 4715 status 403
[20:45:51] ⚠ 1037523 status 403
[20:45:51] ⚠ 1014990 status 403
[20:45:51] ⚠ 42945 status 403
[20:45:51] ⚠ 1065987 status 403
[20:45:51] ⚠ 1015840 status 403
[20:45:51] ⚠ 26640 status 403
[20:45:51] ⚠ 4050 status 403
[20:45:51] ⚠ 46485 status 403
[20:45:51] ⚠ 1015442 status 403
[20:45:51] ⚠ 1052503 status 403
[20:45:51] ⚠ 1064038 status 403
[20:45:51] ⚠ 18460 status 403
[20:45:51] ⚠ 1037514 status 403
[20:45:51] ⚠ 1036772 status 403
[20:45:51] ⚠ 1041496 status 403
[20:45:51] ⚠ 1041473 status 403
[20:45:51] ⚠ 7137 status 403
[20:45:51] ⚠ 51499 status 403
[20:45:51] ⚠ 1016381 status 403
[20:45:51] ⚠ 27219 status 403
[20:45:51] ⚠ 7679 status 403
[20:45:51] ⚠ 1037510 status 403
