[00:26:40] 📍 Loaded 563 district venues
[00:26:40] 🚀 DISTRICT SCRAPER STARTED
[00:26:45] ⚠ 1041505 status 403
[00:26:45] ⚠ 4036 status 403
[00:26:45] ⚠ 9551 status 403
[00:26:45] ⚠ 1005797 status 403
[00:26:45] ⚠ 1034324 status 403
[00:26:45] ⚠ 7350 status 403
[00:26:45] ⚠ 1037506 status 403
[00:26:45] ⚠ 4272 status 403
[00:26:45] ⚠ 1031296 status 403
[00:26:45] ⚠ 1042439 status 403
[00:26:45] ⚠ 18823 status 403
[00:26:45] ⚠ 4725 status 403
[00:26:45] ⚠ 1014990 status 403
[00:26:45] ⚠ 1037523 status 403
[00:26:45] ⚠ 42945 status 403
[00:26:45] ⚠ 1065987 status 403
[00:26:45] ⚠ 1052503 status 403
[00:26:45] ⚠ 1015442 status 403
[00:26:45] ⚠ 1041496 status 403
[00:26:45] ⚠ 1036772 status 403
[00:26:45] ⚠ 1037514 status 403
[00:26:45] ⚠ 7137 status 403
[00:26:46] ⚠ 1016381 status 403
[00:26:46] ⚠ 16522 status 403
[00:26:46] ⚠ 4051 status 403
[00:26:46] ⚠ 1037510 status 403
[00:26:46] ⚠ 1020547 status 403
[00:26:46] ⚠ 5145 status 403
[00:26:46] ⚠ 1041458 status 403
[00:26:46] ⚠ 1041242 status 403
[00:26:46] ⚠ 1041393 status 403
[00:26:46] ⚠ 1084553 status 403
[00:26:46] ⚠ 1075745 status 403
[00:26:46] ⚠ 1037531 status 403
[00:26:46] ⚠ 1015286 status 403
[00:26:46] ⚠ 3965 status 403
[00:26:46] ⚠ 9384 status 403
[00:26:46] ⚠ 1032461 status 403
[00:26:46] ⚠ 25571 status 403
[00:26:46] ⚠ 1039840 status 403
[00:26:46] ⚠ 55466 status 403
[00:26:46] ⚠ 9174 status 403
[00:26:46] ⚠ 9194 status 403
[00:26:46] ⚠ 1032460 status 403
[00:26:46] ⚠ 7232 status 403
[00:26:46] ⚠ 25045 status 403
[00:26:46] ⚠ 26281 status 403
[00:26:46] ⚠ 30784 status 403
[00:26:46] ⚠ 1037527 status 403
[00:26:46] ⚠ 1016383 status 403
[00:26:46] ⚠ 1037491 status 403
[00:26:46] ⚠ 1037503 status 403
[00:26:46] ⚠ 55853 status 403
[00:26:46] ⚠ 1003767 status 403
[00:26:46] ⚠ 9246 status 403
[00:26:46] ⚠ 1029684 status 403
[00:26:46] ⚠ 1007282 status 403
[00:26:46] ⚠ 1041239 status 403
[00:26:46] ⚠ 18164 status 403
[00:26:46] ⚠ 3896 status 403
[00:26:46] ⚠ 19513 status 403
[00:26:46] ⚠ 25181 status 403
[00:26:46] ⚠ 5182 status 403
[00:26:46] ⚠ 1015975 status 403
[00:26:46] ⚠ 1035744 status 403
[00:26:46] ⚠ 9285 status 403
[00:26:46] ⚠ 1012280 status 403
[00:26:46] ⚠ 1088811 status 403
[00:26:46] ⚠ 62250 status 403
[00:26:46] ⚠ 1041804 status 403
[00:26:46] ⚠ 1037521 status 403
[00:26:46] ⚠ 1037516 status 403
[00:26:46] ⚠ 1042605 status 403
[00:26:46] ⚠ 1037517 status 403
[00:26:46] ⚠ 1032901 status 403
[00:26:46] ⚠ 1040181 status 403
[00:26:46] ⚠ 5220 status 403
[00:26:46] ⚠ 7293 status 403
[00:26:46] ⚠ 5150 status 403
[00:26:46] ⚠ 4889 status 403
[00:26:46] ⚠ 1047917 status 403
[00:26:46] ⚠ 1041199 status 403
[00:26:46] ⚠ 4919 status 403
[00:26:46] ⚠ 16523 status 403
[00:26:46] ⚠ 4780 status 403
[00:26:46] ⚠ 1056892 status 403
[00:26:46] ⚠ 14354 status 403
[00:26:46] ⚠ 1061843 status 403
[00:26:46] ⚠ 6119 status 403
[00:26:46] ⚠ 1084822 status 403
[00:26:46] ⚠ 1052727 status 403
[00:26:46] ⚠ 1020338 status 403
[00:26:46] ⚠ 1041683 status 403
[00:26:46] ⚠ 1036383 status 403
[00:26:46] ⚠ 1033177 status 403
[00:26:46] ⚠ 1050804 status 403
[00:26:46] ⚠ 17483 status 403
[00:26:46] ⚠ 4910 status 403
[00:26:46] ⚠ 7537 status 403
[00:26:46] ⚠ 25281 status 403
[00:26:46] ⚠ 28235 status 403
[00:26:46] ⚠ 1018468 status 403
[00:26:46] ⚠ 29954 status 403
[00:26:46] ⚠ 9784 status 403
[00:26:46] ⚠ 9661 status 403
[00:26:46] ⚠ 27725 status 403
[00:26:46] ⚠ 1041732 status 403
[00:26:46] ⚠ 7826 status 403
[00:26:46] ⚠ 1041726 status 403
[00:26:46] ⚠ 7753 status 403
[00:26:46] ⚠ 9150 status 403
[00:26:46] ⚠ 1006037 status 403
[00:26:46] ⚠ 4163 status 403
[00:26:46] ⚠ 1030383 status 403
[00:26:46] ⚠ 1074202 status 403
[00:26:46] ⚠ 4852 status 403
[00:26:46] ⚠ 58822 status 403
[00:26:46] ⚠ 1041465 status 403
[00:26:46] ⚠ 7856 status 403
[00:26:46] ⚠ 1013210 status 403
[00:26:46] ⚠ 7814 status 403
[00:26:46] ⚠ 3145 status 403
[00:26:46] ⚠ 1055922 status 403
[00:26:46] ⚠ 19110 status 403
[00:26:46] ⚠ 7312 status 403
[00:26:46] ⚠ 1028118 status 403
[00:26:46] ⚠ 9044 status 403
[00:26:46] ⚠ 4255 status 403
[00:26:46] ⚠ 4904 status 403
[00:26:46] ⚠ 4340 status 403
[00:26:46] ⚠ 7260 status 403
[00:26:46] ⚠ 5080 status 403
[00:26:46] ⚠ 28863 status 403
[00:26:46] ⚠ 1050768 status 403
[00:26:46] ⚠ 4425 status 403
[00:26:46] ⚠ 6096 status 403
[00:26:46] ⚠ 9131 status 403
[00:26:46] ⚠ 1019687 status 403
[00:26:46] ⚠ 1020350 status 403
[00:26:46] ⚠ 4379 status 403
[00:26:46] ⚠ 1041566 status 403
[00:26:46] ⚠ 1088778 status 403
[00:26:46] ⚠ 5105 status 403
[00:26:46] ⚠ 30441 status 403
[00:26:46] ⚠ 1398 status 403
[00:26:46] ⚠ 1041211 status 403
[00:26:46] ⚠ 19289 status 403
[00:26:46] ⚠ 27432 status 403
[00:26:46] ⚠ 7627 status 403
[00:26:46] ⚠ 1026095 status 403
[00:26:46] ⚠ 1041495 status 403
[00:26:46] ⚠ 1031639 status 403
[00:26:46] ⚠ 1042822 status 403
[00:26:46] ⚠ 19294 status 403
[00:26:46] ⚠ 1033524 status 403
[00:26:46] ⚠ 1039748 status 403
[00:26:46] ⚠ 1014297 status 403
[00:26:46] ⚠ 1009967 status 403
[00:26:46] ⚠ 6079 status 403
[00:26:46] ⚠ 29510 status 403
[00:26:46] ⚠ 1054202 status 403
[00:26:46] ⚠ 9176 status 403
[00:26:46] ⚠ 26729 status 403
[00:26:46] ⚠ 1041691 status 403
[00:26:46] ⚠ 1031640 status 403
[00:26:46] ⚠ 43960 status 403
[00:26:46] ⚠ 1013662 status 403
[00:26:46] ⚠ 1055117 status 403
[00:26:46] ⚠ 10268 status 403
[00:26:46] ⚠ 32811 status 403
[00:26:46] ⚠ 24522 status 403
[00:26:46] ⚠ 1066216 status 403
[00:26:46] ⚠ 33645 status 403
[00:26:46] ⚠ 9780 status 403
[00:26:46] ⚠ 7308 status 403
[00:26:46] ⚠ 1039923 status 403
[00:26:46] ⚠ 54684 status 403
[00:26:46] ⚠ 9497 status 403
[00:26:46] ⚠ 1041729 status 403
[00:26:46] ⚠ 1041684 status 403
[00:26:46] ⚠ 4881 status 403
[00:26:46] ⚠ 1041782 status 403
[00:26:46] ⚠ 482 status 403
[00:26:46] ⚠ 1008441 status 403
[00:26:46] ⚠ 12947 status 403
[00:26:46] ⚠ 984 status 403
[00:26:46] ⚠ 22884 status 403
[00:26:46] ⚠ 1030384 status 403
[00:26:46] ⚠ 9291 status 403
[00:26:46] ⚠ 1018796 status 403
[00:26:46] ⚠ 9527 status 403
[00:26:46] ⚠ 1039863 status 403
[00:26:46] ⚠ 4714 status 403
[00:26:46] ⚠ 9653 status 403
[00:26:46] ⚠ 15614 status 403
[00:26:46] ⚠ 24767 status 403
[00:26:46] ⚠ 1056146 status 403
[00:26:46] ⚠ 476 status 403
[00:26:46] ⚠ 1065452 status 403
[00:26:47] ⚠ 1089364 status 403
[00:26:47] ⚠ 1049288 status 403
[00:26:47] ⚠ 5103 status 403
[00:26:47] ⚠ 1049289 status 403
[00:26:47] ⚠ 1075662 status 403
[00:26:47] ⚠ 1078620 status 403
[00:26:47] ⚠ 6035 status 403
[00:26:47] ⚠ 1004633 status 403
[00:26:47] ⚠ 1035939 status 403
[00:26:47] ⚠ 14703 status 403
[00:26:47] ⚠ 1027244 status 403
[00:26:47] ⚠ 1019544 status 403
[00:26:47] ⚠ 52682 status 403
[00:26:47] ⚠ 3976 status 403
[00:26:47] ⚠ 1054736 status 403
[00:26:47] ⚠ 1054735 status 403
[00:26:47] ⚠ 1041567 status 403
[00:26:47] ⚠ 1092992 status 403
[00:26:47] ⚠ 62907 status 403
[00:26:47] ⚠ 26294 status 403
[00:26:47] ⚠ 25008 status 403
[00:26:47] ⚠ 5061 status 403
[00:26:47] ⚠ 27908 status 403
[00:26:47] ⚠ 1024041 status 403
[00:26:47] ⚠ 3906 status 403
[00:26:47] ⚠ 38446 status 403
[00:26:47] ⚠ 1054730 status 403
[00:26:47] ⚠ 1056839 status 403
[00:26:47] ⚠ 6121 status 403
[00:26:47] ⚠ 31792 status 403
[00:26:47] ⚠ 1032344 status 403
[00:26:47] ⚠ 4976 status 403
[00:26:47] ⚠ 1042215 status 403
[00:26:47] ⚠ 1056846 status 403
[00:26:47] ⚠ 1088219 status 403
[00:26:47] ⚠ 49852 status 403
[00:26:47] ⚠ 4124 status 403
[00:26:47] ⚠ 1009010 status 403
[00:26:47] ⚠ 1036955 status 403
[00:26:47] ⚠ 1009117 status 403
[00:26:47] ⚠ 1059680 status 403
[00:26:47] ⚠ 1020755 status 403
[00:26:47] ⚠ 39874 status 403
[00:26:47] ⚠ 9292 status 403
[00:26:47] ⚠ 9169 status 403
[00:26:47] ⚠ 1021629 status 403
[00:26:47] ⚠ 24880 status 403
[00:26:47] ⚠ 1068242 status 403
[00:26:47] ⚠ 9041 status 403
[00:26:47] ⚠ 15526 status 403
[00:26:47] ⚠ 9100 status 403
[00:26:47] ⚠ 1025576 status 403
[00:26:47] ⚠ 4038 status 403
[00:26:47] ⚠ 10255 status 403
[00:26:47] ⚠ 4890 status 403
[00:26:47] ⚠ 1054742 status 403
[00:26:47] ⚠ 24246 status 403
[00:26:47] ⚠ 1039864 status 403
[00:26:47] ⚠ 1053536 status 403
[00:26:47] ⚠ 9504 status 403
[00:26:47] ⚠ 31788 status 403
[00:26:47] ⚠ 1036114 status 403
[00:26:47] ⚠ 9368 status 403
[00:26:47] ⚠ 1004635 status 403
[00:26:47] ⚠ 7504 status 403
[00:26:47] ⚠ 1082851 status 403
[00:26:47] ⚠ 56144 status 403
[00:26:47] ⚠ 10270 status 403
[00:26:47] ⚠ 1013355 status 403
[00:26:47] ⚠ 1003803 status 403
[00:26:47] ⚠ 1028879 status 403
[00:26:47] ⚠ 24981 status 403
[00:26:47] ⚠ 7511 status 403
[00:26:47] ⚠ 1011192 status 403
[00:26:47] ⚠ 1012136 status 403
[00:26:47] ⚠ 1004634 status 403
[00:26:47] ⚠ 1053155 status 403
[00:26:47] ⚠ 4174 status 403
[00:26:47] ✅ Fetched 11 venues with shows
[00:26:47] ✅ DONE | Shows=45 | Movies=4
[01:12:24] 📍 Loaded 563 district venues
[01:12:24] 🚀 DISTRICT SCRAPER STARTED
[01:12:34] ⚠ 1041804 status 403
[01:12:34] ⚠ 7293 status 403
[01:12:34] ⚠ 5220 status 403
[01:12:34] ⚠ 5150 status 403
[01:12:34] ⚠ 4889 status 403
[01:12:34] ⚠ 16523 status 403
[01:12:34] ⚠ 1056892 status 403
[01:12:34] ⚠ 4919 status 403
[01:12:34] ⚠ 4780 status 403
[01:12:34] ⚠ 1052727 status 403
[01:12:34] ⚠ 4910 status 403
[01:12:34] ⚠ 1033177 status 403
[01:12:34] ⚠ 17483 status 403
[01:12:34] ⚠ 7537 status 403
[01:12:34] ⚠ 9661 status 403
[01:12:34] ⚠ 1018468 status 403
[01:12:34] ⚠ 1041732 status 403
[01:12:34] ⚠ 9784 status 403
[01:12:34] ⚠ 4852 status 403
[01:12:34] ⚠ 1030383 status 403
[01:12:37] ⚠ 27908 status 403
[01:12:37] ⚠ 26294 status 403
[01:12:37] ⚠ 3906 status 403
[01:12:37] ⚠ 31792 status 403
[01:12:37] ⚠ 1024041 status 403
[01:12:37] ⚠ 1042215 status 403
[01:12:37] ⚠ 1054730 status 403
[01:12:37] ⚠ 6121 status 403
[01:12:37] ⚠ 1056839 status 403
[01:12:37] ⚠ 38446 status 403
[01:12:37] ⚠ 1009010 status 403
[01:12:37] ⚠ 4976 status 403
[01:12:37] ⚠ 1059680 status 403
[01:12:37] ⚠ 1032344 status 403
[01:12:37] ⚠ 1009117 status 403
[01:12:37] ⚠ 4124 status 403
[01:12:37] ⚠ 1056846 status 403
[01:12:37] ⚠ 24880 status 403
[01:12:37] ⚠ 49852 status 403
[01:12:37] ⚠ 1020755 status 403
[01:12:37] ⚠ 9292 status 403
[01:12:37] ⚠ 1088219 status 403
[01:12:37] ⚠ 1036955 status 403
[01:12:37] ⚠ 1021629 status 403
[01:12:37] ⚠ 15526 status 403
[01:12:37] ⚠ 1068242 status 403
[01:12:37] ⚠ 1025576 status 403
[01:12:37] ⚠ 39874 status 403
[01:12:37] ⚠ 9041 status 403
[01:12:37] ⚠ 4890 status 403
[01:12:37] ⚠ 9169 status 403
[01:12:37] ⚠ 9504 status 403
[01:12:37] ⚠ 9100 status 403
[01:12:37] ⚠ 4038 status 403
[01:12:37] ⚠ 1082851 status 403
[01:12:37] ⚠ 7504 status 403
[01:12:37] ⚠ 1036114 status 403
[01:12:37] ⚠ 1039864 status 403
[01:12:37] ⚠ 10255 status 403
[01:12:37] ⚠ 9368 status 403
[01:12:37] ⚠ 1054742 status 403
[01:12:37] ⚠ 24246 status 403
[01:12:37] ⚠ 1053536 status 403
[01:12:37] ⚠ 1004635 status 403
[01:12:37] ⚠ 31788 status 403
[01:12:37] ⚠ 56144 status 403
[01:12:37] ⚠ 1012136 status 403
[01:12:37] ⚠ 4174 status 403
[01:12:37] ⚠ 24981 status 403
[01:12:37] ⚠ 10270 status 403
[01:12:37] ⚠ 1004634 status 403
[01:12:37] ⚠ 1013355 status 403
[01:12:37] ⚠ 1028879 status 403
[01:12:37] ⚠ 1011192 status 403
[01:12:37] ⚠ 1003803 status 403
[01:12:37] ⚠ 1053155 status 403
[01:12:37] ⚠ 7511 status 403
[01:12:38] ✅ Fetched 14 venues with shows
[01:12:38] ✅ DONE | Shows=57 | Movies=4
[02:18:08] 📍 Loaded 563 district venues
[02:18:08] 🚀 DISTRICT SCRAPER STARTED
[02:18:12] ⚠ 7752 status 403
[02:18:12] ⚠ 1067686 status 403
[02:18:12] ⚠ 1053939 status 403
[02:18:12] ⚠ 15527 status 403
[02:18:12] ⚠ 1041692 status 403
[02:18:13] ⚠ 26401 status 403
[02:18:13] ⚠ 509 status 403
[02:18:13] ⚠ 44366 status 403
[02:18:13] ⚠ 6093 status 403
[02:18:13] ⚠ 1003773 status 403
[02:18:13] ⚠ 30524 status 403
[02:18:13] ⚠ 1041753 status 403
[02:18:13] ⚠ 25938 status 403
[02:18:13] ⚠ 4902 status 403
[02:18:14] ⚠ 4715 status 403
[02:18:14] ⚠ 9132 status 403
[02:18:14] ⚠ 42945 status 403
[02:18:14] ⚠ 1065987 status 403
[02:18:14] ⚠ 1052503 status 403
[02:18:14] ⚠ 26640 status 403
[02:18:14] ⚠ 1015840 status 403
[02:18:14] ⚠ 1064038 status 403
[02:18:14] ⚠ 46485 status 403
[02:18:14] ⚠ 4050 status 403
[02:18:14] ⚠ 1016381 status 403
[02:18:14] ⚠ 1041496 status 403
[02:18:14] ⚠ 1041473 status 403
[02:18:14] ⚠ 1036772 status 403
[02:18:14] ⚠ 1015442 status 403
[02:18:14] ⚠ 7137 status 403
[02:18:14] ⚠ 18460 status 403
[02:18:14] ⚠ 51499 status 403
[02:18:14] ⚠ 16522 status 403
[02:18:14] ⚠ 1037514 status 403
[02:18:14] ⚠ 1037510 status 403
[02:18:14] ⚠ 1041242 status 403
[02:18:14] ⚠ 27219 status 403
[02:18:14] ⚠ 7618 status 403
[02:18:14] ⚠ 9136 status 403
[02:18:14] ⚠ 1020453 status 403
[02:18:14] ⚠ 7679 status 403
[02:18:14] ⚠ 1020547 status 403
[02:18:14] ⚠ 4051 status 403
[02:18:14] ⚠ 3965 status 403
