[00:52:18] 📍 Loaded 563 district venues
[00:52:18] 🚀 DISTRICT SCRAPER STARTED
[00:52:28] ⚠ 7312 status 403
[00:52:28] ⚠ 9044 status 403
[00:52:28] ⚠ 7856 status 403
[00:52:28] ⚠ 6096 status 403
[00:52:28] ⚠ 4904 status 403
[00:52:28] ⚠ 4255 status 403
[00:52:28] ⚠ 27432 status 403
[00:52:28] ⚠ 1088778 status 403
[00:52:28] ⚠ 1020350 status 403
[00:52:28] ⚠ 1041566 status 403
[00:52:28] ⚠ 5105 status 403
[00:52:28] ⚠ 7627 status 403
[00:52:28] ⚠ 30441 status 403
[00:52:28] ⚠ 1042822 status 403
[00:52:28] ⚠ 1039748 status 403
[00:52:28] ⚠ 1041495 status 403
[00:52:28] ⚠ 1033524 status 403
[00:52:28] ⚠ 19294 status 403
[00:52:28] ⚠ 1041691 status 403
[00:52:28] ⚠ 9176 status 403
[00:52:28] ⚠ 1009967 status 403
[00:52:28] ⚠ 29510 status 403
[00:52:29] ⚠ 15614 status 403
[00:52:29] ⚠ 24767 status 403
[00:52:29] ⚠ 5103 status 403
[00:52:29] ⚠ 1078620 status 403
[00:52:29] ⚠ 1049289 status 403
[00:52:29] ⚠ 6035 status 403
[00:52:29] ⚠ 1075662 status 403
[00:52:29] ⚠ 1019544 status 403
[00:52:29] ⚠ 1049288 status 403
[00:52:29] ⚠ 3976 status 403
[00:52:29] ⚠ 1035939 status 403
[00:52:29] ⚠ 1054735 status 403
[00:52:29] ⚠ 14703 status 403
[00:52:29] ⚠ 1027244 status 403
[00:52:29] ⚠ 1054736 status 403
[00:52:29] ⚠ 52682 status 403
[00:52:29] ⚠ 1004633 status 403
[00:52:29] ⚠ 1041567 status 403
[00:52:29] ⚠ 62907 status 403
[00:52:29] ⚠ 1092992 status 403
[00:52:29] ⚠ 5061 status 403
[00:52:29] ⚠ 26294 status 403
[00:52:29] ⚠ 1024041 status 403
[00:52:29] ⚠ 27908 status 403
[00:52:29] ⚠ 31792 status 403
[00:52:29] ⚠ 25008 status 403
[00:52:29] ⚠ 1056839 status 403
[00:52:29] ⚠ 1042215 status 403
[00:52:29] ⚠ 1054730 status 403
[00:52:29] ⚠ 1032344 status 403
[00:52:29] ⚠ 6121 status 403
[00:52:29] ⚠ 3906 status 403
[00:52:29] ⚠ 38446 status 403
[00:52:29] ⚠ 1009117 status 403
[00:52:29] ⚠ 1059680 status 403
[00:52:29] ⚠ 9292 status 403
[00:52:29] ⚠ 49852 status 403
[00:52:29] ⚠ 1088219 status 403
[00:52:29] ⚠ 1056846 status 403
[00:52:29] ⚠ 24880 status 403
[00:52:29] ⚠ 1036955 status 403
[00:52:29] ⚠ 4124 status 403
[00:52:29] ⚠ 39874 status 403
[00:52:29] ⚠ 1009010 status 403
[00:52:29] ⚠ 1021629 status 403
[00:52:29] ⚠ 1068242 status 403
[00:52:29] ⚠ 1039864 status 403
[00:52:29] ⚠ 1020755 status 403
[00:52:29] ⚠ 9100 status 403
[00:52:29] ⚠ 1025576 status 403
[00:52:29] ⚠ 15526 status 403
[00:52:29] ⚠ 9169 status 403
[00:52:29] ⚠ 4038 status 403
[00:52:29] ⚠ 24246 status 403
[00:52:29] ⚠ 56144 status 403
[00:52:29] ⚠ 4976 status 403
[00:52:29] ⚠ 9041 status 403
[00:52:29] ⚠ 10255 status 403
[00:52:29] ⚠ 1082851 status 403
[00:52:29] ⚠ 7504 status 403
[00:52:29] ⚠ 9504 status 403
[00:52:29] ⚠ 1004635 status 403
[00:52:29] ⚠ 1054742 status 403
[00:52:29] ⚠ 1012136 status 403
[00:52:29] ⚠ 1053536 status 403
[00:52:29] ⚠ 9368 status 403
[00:52:29] ⚠ 24981 status 403
[00:52:29] ⚠ 1013355 status 403
[00:52:29] ⚠ 4174 status 403
[00:52:29] ⚠ 1028879 status 403
[00:52:29] ⚠ 1011192 status 403
[00:52:29] ⚠ 10270 status 403
[00:52:29] ⚠ 4890 status 403
[00:52:29] ⚠ 1004634 status 403
[00:52:29] ⚠ 7511 status 403
[00:52:29] ⚠ 1003803 status 403
[00:52:29] ⚠ 1036114 status 403
[00:52:30] ⚠ 31788 status 403
[00:52:30] ⚠ 1053155 status 403
[00:52:30] ✅ Fetched 116 venues with shows
[00:52:30] ✅ DONE | Shows=515 | Movies=25
[02:20:18] 📍 Loaded 563 district venues
[02:20:18] 🚀 DISTRICT SCRAPER STARTED
[02:20:22] ⚠ 1039768 status 403
[02:20:22] ⚠ 1019593 status 403
[02:20:22] ⚠ 1034186 status 403
[02:20:22] ⚠ 27715 status 403
[02:20:22] ⚠ 27716 status 403
[02:20:22] ⚠ 44966 status 403
[02:20:23] ⚠ 4042 status 403
[02:20:23] ⚠ 496 status 403
[02:20:23] ⚠ 1016986 status 403
[02:20:23] ⚠ 1088790 status 403
[02:20:23] ⚠ 24929 status 403
[02:20:23] ⚠ 24351 status 403
[02:20:23] ⚠ 1020288 status 403
[02:20:23] ⚠ 1037142 status 403
[02:20:23] ⚠ 28214 status 403
[02:20:23] ⚠ 1088803 status 403
[02:20:23] ⚠ 1036961 status 403
[02:20:23] ⚠ 31987 status 403
[02:20:23] ⚠ 15527 status 403
[02:20:23] ⚠ 1053939 status 403
[02:20:23] ⚠ 1015795 status 403
[02:20:23] ⚠ 1039424 status 403
[02:20:23] ⚠ 1067686 status 403
[02:20:23] ⚠ 1063452 status 403
[02:20:23] ⚠ 44366 status 403
[02:20:23] ⚠ 16791 status 403
[02:20:23] ⚠ 22305 status 403
[02:20:24] ⚠ 1037532 status 403
[02:20:24] ⚠ 9424 status 403
[02:20:24] ⚠ 1040731 status 403
[02:20:24] ⚠ 36879 status 403
[02:20:24] ⚠ 9350 status 403
[02:20:24] ⚠ 14166 status 403
[02:20:24] ⚠ 1034324 status 403
[02:20:24] ⚠ 9551 status 403
[02:20:24] ⚠ 1039272 status 403
[02:20:24] ⚠ 1005797 status 403
[02:20:24] ⚠ 1041505 status 403
[02:20:24] ⚠ 9474 status 403
[02:20:24] ⚠ 4036 status 403
