[04:56:37] 📍 Loaded 563 district venues
[04:56:37] 🚀 DISTRICT SCRAPER STARTED
[04:56:48] ⚠ 1037517 status 403
[04:56:48] ⚠ 62250 status 403
[04:56:48] ⚠ 1037521 status 403
[04:56:48] ⚠ 1040181 status 403
[04:56:49] ⚠ 7293 status 403
[04:56:49] ⚠ 16523 status 403
[04:56:49] ⚠ 5220 status 403
[04:56:49] ⚠ 1041199 status 403
[04:56:49] ⚠ 1061843 status 403
[04:56:49] ⚠ 1052727 status 403
[04:56:49] ⚠ 1036383 status 403
[04:56:52] ⚠ 4714 status 403
[04:56:52] ⚠ 22884 status 403
[04:56:52] ⚠ 9527 status 403
[04:56:52] ⚠ 9653 status 403
[04:56:52] ⚠ 1056146 status 403
[04:56:52] ⚠ 1039863 status 403
[04:56:52] ⚠ 1065452 status 403
[04:56:52] ⚠ 1089364 status 403
[04:56:52] ⚠ 1078620 status 403
[04:56:52] ⚠ 24767 status 403
[04:56:52] ⚠ 1008441 status 403
[04:56:52] ⚠ 15614 status 403
[04:56:52] ⚠ 476 status 403
[04:56:52] ⚠ 1049289 status 403
[04:56:52] ⚠ 3976 status 403
[04:56:52] ⚠ 1075662 status 403
[04:56:52] ⚠ 5103 status 403
[04:56:52] ⚠ 1027244 status 403
[04:56:52] ⚠ 1049288 status 403
[04:56:52] ⚠ 1035939 status 403
[04:56:52] ⚠ 14703 status 403
[04:56:52] ⚠ 1019544 status 403
[04:56:52] ⚠ 52682 status 403
[04:56:52] ⚠ 1004633 status 403
[04:56:52] ⚠ 5061 status 403
[04:56:52] ⚠ 1041567 status 403
[04:56:52] ⚠ 1054735 status 403
[04:56:52] ⚠ 26294 status 403
[04:56:52] ⚠ 3906 status 403
[04:56:52] ⚠ 62907 status 403
[04:56:52] ⚠ 6035 status 403
[04:56:52] ⚠ 25008 status 403
[04:56:52] ⚠ 1024041 status 403
[04:56:52] ⚠ 1054730 status 403
[04:56:52] ⚠ 1092992 status 403
[04:56:52] ⚠ 6121 status 403
[04:56:52] ⚠ 1042215 status 403
[04:56:52] ⚠ 27908 status 403
[04:56:52] ⚠ 1054736 status 403
[04:56:52] ⚠ 31792 status 403
[04:56:52] ⚠ 1032344 status 403
[04:56:52] ⚠ 24880 status 403
[04:56:52] ⚠ 4124 status 403
[04:56:52] ⚠ 1056846 status 403
[04:56:52] ⚠ 4976 status 403
[04:56:52] ⚠ 1009117 status 403
[04:56:52] ⚠ 1020755 status 403
[04:56:52] ⚠ 1088219 status 403
[04:56:52] ⚠ 1009010 status 403
[04:56:52] ⚠ 1025576 status 403
[04:56:52] ⚠ 1068242 status 403
[04:56:52] ⚠ 49852 status 403
[04:56:52] ⚠ 9292 status 403
[04:56:52] ⚠ 9041 status 403
[04:56:52] ⚠ 1056839 status 403
[04:56:52] ⚠ 1021629 status 403
[04:56:52] ⚠ 1036955 status 403
[04:56:52] ⚠ 9100 status 403
[04:56:52] ⚠ 1053536 status 403
[04:56:52] ⚠ 4038 status 403
[04:56:52] ⚠ 39874 status 403
[04:56:52] ⚠ 1039864 status 403
[04:56:52] ⚠ 9504 status 403
[04:56:52] ⚠ 9368 status 403
[04:56:52] ⚠ 1054742 status 403
[04:56:52] ⚠ 24246 status 403
[04:56:52] ⚠ 1013355 status 403
[04:56:52] ⚠ 1004635 status 403
[04:56:52] ⚠ 1012136 status 403
[04:56:52] ⚠ 4890 status 403
[04:56:52] ⚠ 10255 status 403
[04:56:52] ⚠ 38446 status 403
[04:56:52] ⚠ 31788 status 403
[04:56:52] ⚠ 24981 status 403
[04:56:52] ⚠ 1028879 status 403
[04:56:52] ⚠ 56144 status 403
[04:56:52] ⚠ 1059680 status 403
[04:56:52] ⚠ 7504 status 403
[04:56:52] ⚠ 4174 status 403
[04:56:52] ⚠ 1036114 status 403
[04:56:52] ⚠ 1003803 status 403
[04:56:52] ⚠ 1082851 status 403
[04:56:52] ⚠ 15526 status 403
[04:56:52] ⚠ 10270 status 403
[04:56:52] ⚠ 1004634 status 403
[04:56:52] ⚠ 1011192 status 403
[04:56:52] ⚠ 1053155 status 403
[04:56:52] ⚠ 9169 status 403
[04:56:52] ⚠ 7511 status 403
[04:56:52] ✅ Fetched 100 venues with shows
[04:56:52] ✅ DONE | Shows=461 | Movies=23
[07:59:16] 📍 Loaded 563 district venues
[07:59:16] 🚀 DISTRICT SCRAPER STARTED
[07:59:33] ✅ Fetched 118 venues with shows
[07:59:33] ✅ DONE | Shows=545 | Movies=25
[08:00:16] 📍 Loaded 563 district venues
[08:00:16] 🚀 DISTRICT SCRAPER STARTED
[08:00:20] ⚠ 7747 status 403
[08:00:20] ⚠ 1063761 status 403
[08:00:20] ⚠ 1088790 status 403
[08:00:20] ⚠ 4306 status 403
[08:00:20] ⚠ 28214 status 403
[08:00:20] ⚠ 1083399 status 403
[08:00:20] ⚠ 1020288 status 403
[08:00:20] ⚠ 1039424 status 403
[08:00:20] ⚠ 9373 status 403
[08:00:20] ⚠ 1067686 status 403
[08:00:20] ⚠ 1053939 status 403
[08:00:20] ⚠ 1036961 status 403
[08:00:20] ⚠ 7222 status 403
[08:00:20] ⚠ 509 status 403
[08:00:20] ⚠ 1063452 status 403
[08:00:20] ⚠ 1020190 status 403
[08:00:20] ⚠ 22305 status 403
[08:00:21] ⚠ 1008409 status 403
[08:00:22] ⚠ 4715 status 403
[08:00:22] ⚠ 1014990 status 403
[08:00:22] ⚠ 1037523 status 403
[08:00:22] ⚠ 9132 status 403
[08:00:22] ⚠ 26640 status 403
[08:00:22] ⚠ 1052503 status 403
[08:00:22] ⚠ 42945 status 403
[08:00:22] ⚠ 1065987 status 403
[08:00:22] ⚠ 1064038 status 403
[08:00:22] ⚠ 46485 status 403
[08:00:22] ⚠ 1015840 status 403
[08:00:22] ⚠ 7137 status 403
[08:00:22] ⚠ 1041473 status 403
[08:00:22] ⚠ 51499 status 403
[08:00:22] ⚠ 1015442 status 403
[08:00:22] ⚠ 1041496 status 403
[08:00:22] ⚠ 4050 status 403
[08:00:22] ⚠ 1037514 status 403
[08:00:22] ⚠ 1036772 status 403
[08:00:22] ⚠ 18460 status 403
[08:00:22] ⚠ 1016381 status 403
[08:00:22] ⚠ 4051 status 403
[08:00:22] ⚠ 7618 status 403
[08:00:22] ⚠ 7679 status 403
[08:00:22] ⚠ 27219 status 403
[08:00:22] ⚠ 9136 status 403
[08:00:22] ⚠ 5145 status 403
[08:00:22] ⚠ 1020453 status 403
[08:00:22] ⚠ 16522 status 403
[08:00:22] ⚠ 1037510 status 403
[08:00:22] ⚠ 1039840 status 403
[08:00:22] ⚠ 1041458 status 403
[08:00:22] ⚠ 1020547 status 403
[08:00:22] ⚠ 1075745 status 403
