[16:58:20] 📍 Loaded 563 district venues
[16:58:20] 🚀 DISTRICT SCRAPER STARTED
[16:58:24] ⚠ 27716 status 403
[16:58:24] ⚠ 1013208 status 403
[16:58:24] ⚠ 1039751 status 403
[16:58:24] ⚠ 7747 status 403
[16:58:24] ⚠ 24929 status 403
[16:58:24] ⚠ 44966 status 403
[16:58:24] ⚠ 1016986 status 403
[16:58:24] ⚠ 4306 status 403
[16:58:24] ⚠ 496 status 403
[16:58:24] ⚠ 28214 status 403
[16:58:24] ⚠ 4217 status 403
[16:58:24] ⚠ 1088790 status 403
[16:58:24] ⚠ 1083399 status 403
[16:58:24] ⚠ 9373 status 403
[16:58:24] ⚠ 24351 status 403
[16:58:24] ⚠ 1037520 status 403
[16:58:24] ⚠ 1020288 status 403
[16:58:24] ⚠ 1037142 status 403
[16:58:24] ⚠ 1036961 status 403
[16:58:24] ⚠ 1015795 status 403
[16:58:24] ⚠ 1053939 status 403
[16:58:24] ⚠ 7222 status 403
[16:58:24] ⚠ 16791 status 403
[16:58:24] ⚠ 7752 status 403
[16:58:24] ⚠ 1039424 status 403
[16:58:24] ⚠ 52996 status 403
[16:58:24] ⚠ 1088803 status 403
[16:58:24] ⚠ 1067686 status 403
[16:58:24] ⚠ 31987 status 403
[16:58:24] ⚠ 4332 status 403
[16:58:24] ⚠ 1063452 status 403
[16:58:24] ⚠ 15527 status 403
[16:58:24] ⚠ 26401 status 403
[16:58:24] ⚠ 1041692 status 403
[16:58:24] ⚠ 1008409 status 403
[16:58:24] ⚠ 509 status 403
[16:58:24] ⚠ 1003802 status 403
[16:58:24] ⚠ 1020190 status 403
[16:58:24] ⚠ 44366 status 403
[16:58:24] ⚠ 9420 status 403
[16:58:24] ⚠ 1030422 status 403
[16:58:24] ⚠ 22305 status 403
[16:58:24] ⚠ 6093 status 403
[16:58:24] ⚠ 1003773 status 403
[16:58:24] ⚠ 5041 status 403
[16:58:24] ⚠ 30524 status 403
[16:58:24] ⚠ 4739 status 403
[16:58:24] ⚠ 1005991 status 403
[16:58:24] ⚠ 1041753 status 403
[16:58:24] ⚠ 1008335 status 403
[16:58:24] ⚠ 4902 status 403
[16:58:24] ⚠ 32294 status 403
[16:58:24] ⚠ 1040228 status 403
[16:58:24] ⚠ 26230 status 403
[16:58:24] ⚠ 1065451 status 403
[16:58:24] ⚠ 522 status 403
[16:58:24] ⚠ 25938 status 403
[16:58:24] ⚠ 1039877 status 403
[16:58:24] ⚠ 1039842 status 403
[16:58:24] ⚠ 26676 status 403
[16:58:24] ⚠ 9413 status 403
[16:58:24] ⚠ 62637 status 403
[16:58:24] ⚠ 25808 status 403
[16:58:24] ⚠ 9411 status 403
