[16:00:43] 📍 Loaded 563 district venues
[16:00:43] 🚀 DISTRICT SCRAPER STARTED
[16:00:49] ⚠ 4725 status 403
[16:00:49] ⚠ 4715 status 403
[16:00:49] ⚠ 1014990 status 403
[16:00:49] ⚠ 1052503 status 403
[16:00:49] ⚠ 46485 status 403
[16:00:49] ⚠ 1015442 status 403
[16:00:49] ⚠ 1041496 status 403
[16:00:49] ⚠ 4050 status 403
[16:00:49] ⚠ 1064038 status 403
[16:00:49] ⚠ 1016381 status 403
[16:00:49] ⚠ 1041473 status 403
[16:00:49] ⚠ 18460 status 403
[16:00:49] ⚠ 7679 status 403
[16:00:49] ⚠ 27219 status 403
[16:00:49] ⚠ 7618 status 403
[16:00:49] ⚠ 1020453 status 403
[16:00:49] ⚠ 16522 status 403
[16:00:49] ⚠ 1037510 status 403
[16:00:49] ⚠ 4051 status 403
[16:00:49] ⚠ 1041242 status 403
[16:00:49] ⚠ 1041393 status 403
[16:00:49] ⚠ 1075745 status 403
[16:00:49] ⚠ 1015286 status 403
[16:00:50] ⚠ 3965 status 403
[16:00:52] ⚠ 4425 status 403
[16:00:52] ⚠ 1020350 status 403
[16:00:52] ⚠ 1041566 status 403
[16:00:52] ⚠ 1026095 status 403
[16:00:52] ⚠ 1042822 status 403
[16:00:52] ⚠ 30441 status 403
[16:00:52] ⚠ 7627 status 403
[16:00:52] ⚠ 5105 status 403
[16:00:52] ⚠ 19289 status 403
[16:00:52] ⚠ 1041211 status 403
[16:00:52] ⚠ 6079 status 403
[16:00:52] ⚠ 1041495 status 403
[16:00:52] ⚠ 1039748 status 403
[16:00:52] ⚠ 1031639 status 403
[16:00:52] ⚠ 1014297 status 403
[16:00:52] ⚠ 1033524 status 403
[16:00:52] ⚠ 1054202 status 403
[16:00:52] ⚠ 19294 status 403
[16:00:52] ⚠ 9176 status 403
[16:00:52] ⚠ 26729 status 403
[16:00:52] ⚠ 1031640 status 403
[16:00:52] ⚠ 1009967 status 403
[16:00:52] ⚠ 10268 status 403
[16:00:52] ⚠ 29510 status 403
[16:00:52] ⚠ 43960 status 403
[16:00:52] ⚠ 7308 status 403
[16:00:52] ⚠ 1041691 status 403
[16:00:52] ⚠ 24522 status 403
[16:00:52] ⚠ 1013662 status 403
[16:00:52] ⚠ 1055117 status 403
[16:00:52] ⚠ 54684 status 403
[16:00:52] ⚠ 32811 status 403
[16:00:52] ⚠ 9780 status 403
[16:00:52] ⚠ 9497 status 403
[16:00:52] ⚠ 33645 status 403
[16:00:52] ⚠ 12947 status 403
[16:00:52] ⚠ 984 status 403
[16:00:52] ⚠ 1066216 status 403
[16:00:52] ⚠ 1041684 status 403
[16:00:52] ⚠ 482 status 403
[16:00:52] ⚠ 1041782 status 403
[16:00:52] ⚠ 1039923 status 403
[16:00:52] ⚠ 9291 status 403
[16:00:52] ⚠ 1041729 status 403
[16:00:52] ⚠ 1018796 status 403
[16:00:52] ⚠ 1030384 status 403
[16:00:52] ⚠ 4714 status 403
[16:00:52] ⚠ 4881 status 403
[16:00:52] ⚠ 22884 status 403
[16:00:52] ⚠ 9653 status 403
[16:00:52] ⚠ 1089364 status 403
[16:00:52] ⚠ 1008441 status 403
[16:00:52] ⚠ 1065452 status 403
[16:00:52] ⚠ 476 status 403
[16:00:52] ⚠ 15614 status 403
[16:00:52] ⚠ 1039863 status 403
[16:00:52] ⚠ 1049288 status 403
[16:00:52] ⚠ 9527 status 403
[16:00:52] ⚠ 1078620 status 403
[16:00:52] ⚠ 1056146 status 403
[16:00:52] ⚠ 24767 status 403
[16:00:52] ⚠ 1049289 status 403
[16:00:52] ⚠ 1035939 status 403
[16:00:52] ⚠ 6035 status 403
[16:00:52] ⚠ 5103 status 403
[16:00:52] ⚠ 3976 status 403
[16:00:52] ⚠ 1054735 status 403
[16:00:52] ⚠ 1019544 status 403
[16:00:52] ⚠ 1075662 status 403
[16:00:52] ⚠ 27908 status 403
[16:00:52] ⚠ 1027244 status 403
[16:00:52] ⚠ 14703 status 403
[16:00:52] ⚠ 52682 status 403
[16:00:52] ⚠ 1054730 status 403
[16:00:52] ⚠ 1054736 status 403
[16:00:52] ⚠ 1024041 status 403
[16:00:52] ⚠ 1004633 status 403
[16:00:52] ⚠ 25008 status 403
[16:00:52] ⚠ 1032344 status 403
[16:00:52] ⚠ 3906 status 403
[16:00:52] ⚠ 5061 status 403
[16:00:52] ⚠ 62907 status 403
[16:00:52] ⚠ 31792 status 403
[16:00:52] ⚠ 1056839 status 403
[16:00:52] ⚠ 1041567 status 403
[16:00:52] ⚠ 26294 status 403
[16:00:52] ⚠ 1042215 status 403
[16:00:52] ⚠ 6121 status 403
[16:00:52] ⚠ 1092992 status 403
[16:00:52] ⚠ 24880 status 403
[16:00:52] ⚠ 1009010 status 403
[16:00:52] ⚠ 38446 status 403
[16:00:52] ⚠ 4976 status 403
[16:00:52] ⚠ 49852 status 403
[16:00:52] ⚠ 1059680 status 403
[16:00:52] ⚠ 1036955 status 403
[16:00:52] ⚠ 1088219 status 403
[16:00:52] ⚠ 1009117 status 403
[16:00:52] ⚠ 1056846 status 403
[16:00:52] ⚠ 4124 status 403
[16:00:52] ⚠ 1025576 status 403
[16:00:52] ⚠ 1021629 status 403
[16:00:52] ⚠ 1020755 status 403
[16:00:52] ⚠ 9292 status 403
[16:00:52] ⚠ 9041 status 403
[16:00:52] ⚠ 9169 status 403
[16:00:52] ⚠ 39874 status 403
[16:00:52] ⚠ 15526 status 403
[16:00:52] ⚠ 1068242 status 403
[16:00:52] ⚠ 9504 status 403
[16:00:52] ⚠ 9100 status 403
[16:00:52] ⚠ 1039864 status 403
[16:00:52] ⚠ 4890 status 403
[16:00:52] ⚠ 10255 status 403
[16:00:52] ⚠ 4038 status 403
[16:00:52] ⚠ 24246 status 403
[16:00:52] ⚠ 7504 status 403
[16:00:52] ⚠ 1054742 status 403
[16:00:52] ⚠ 1004635 status 403
[16:00:53] ⚠ 1053536 status 403
[16:00:53] ⚠ 1082851 status 403
[16:00:53] ⚠ 1036114 status 403
[16:00:53] ⚠ 9368 status 403
[16:00:53] ⚠ 56144 status 403
[16:00:53] ⚠ 1012136 status 403
[16:00:53] ⚠ 1028879 status 403
[16:00:53] ⚠ 31788 status 403
[16:00:53] ⚠ 1003803 status 403
[16:00:53] ⚠ 24981 status 403
[16:00:53] ⚠ 1011192 status 403
[16:00:53] ⚠ 1004634 status 403
[16:00:53] ⚠ 4174 status 403
[16:00:53] ⚠ 1013355 status 403
[16:00:53] ⚠ 10270 status 403
[16:00:53] ⚠ 7511 status 403
[16:00:53] ⚠ 1053155 status 403
[16:00:53] ✅ Fetched 161 venues with shows
[16:00:53] ✅ DONE | Shows=872 | Movies=32
