[09:37:23] 📍 Loaded 563 district venues
[09:37:23] 🚀 DISTRICT SCRAPER STARTED
[09:37:29] ⚠ 36879 status 403
[09:37:29] ⚠ 14166 status 403
[09:37:29] ⚠ 9551 status 403
[09:37:29] ⚠ 1034324 status 403
[09:37:29] ⚠ 1005797 status 403
[09:37:29] ⚠ 9491 status 403
[09:37:29] ⚠ 7350 status 403
[09:37:29] ⚠ 1031296 status 403
[09:37:29] ⚠ 4272 status 403
[09:37:29] ⚠ 1012081 status 403
[09:37:29] ⚠ 1037506 status 403
[09:37:29] ⚠ 14669 status 403
[09:37:29] ⚠ 1027903 status 403
[09:37:29] ⚠ 1014990 status 403
[09:37:29] ⚠ 18823 status 403
[09:37:29] ⚠ 1025740 status 403
[09:37:29] ⚠ 26640 status 403
[09:37:29] ⚠ 4045 status 403
[09:37:29] ⚠ 9132 status 403
[09:37:29] ⚠ 1037523 status 403
[09:37:29] ⚠ 42945 status 403
[09:37:29] ⚠ 1052503 status 403
[09:37:29] ⚠ 1065987 status 403
[09:37:29] ⚠ 1064038 status 403
[09:37:29] ⚠ 46485 status 403
[09:37:29] ⚠ 1015442 status 403
[09:37:29] ⚠ 1041473 status 403
[09:37:30] ⚠ 18460 status 403
[09:37:30] ⚠ 1016381 status 403
[09:37:30] ⚠ 7618 status 403
[09:37:31] ⚠ 9784 status 403
[09:37:31] ⚠ 29954 status 403
[09:37:31] ⚠ 7537 status 403
[09:37:31] ⚠ 25281 status 403
[09:37:31] ⚠ 28235 status 403
[09:37:31] ⚠ 1041732 status 403
[09:37:32] ⚠ 7826 status 403
[09:37:32] ⚠ 1018468 status 403
[09:37:32] ⚠ 27725 status 403
[09:37:32] ⚠ 1006037 status 403
[09:37:32] ⚠ 1041726 status 403
[09:37:32] ⚠ 4852 status 403
[09:37:32] ⚠ 3145 status 403
[09:37:32] ⚠ 1041465 status 403
[09:37:32] ⚠ 1013210 status 403
[09:37:32] ⚠ 1030383 status 403
[09:37:32] ⚠ 58822 status 403
[09:37:32] ⚠ 9150 status 403
[09:37:32] ⚠ 1074202 status 403
[09:37:32] ⚠ 1055922 status 403
[09:37:32] ⚠ 7753 status 403
[09:37:32] ⚠ 19110 status 403
[09:37:32] ⚠ 9044 status 403
[09:37:32] ⚠ 7814 status 403
[09:37:32] ⚠ 6096 status 403
[09:37:32] ⚠ 1019687 status 403
[09:37:32] ⚠ 1028118 status 403
[09:37:32] ⚠ 7856 status 403
[09:37:32] ⚠ 7312 status 403
[09:37:32] ⚠ 4904 status 403
[09:37:32] ⚠ 4163 status 403
[09:37:32] ⚠ 28863 status 403
[09:37:32] ⚠ 4340 status 403
[09:37:32] ⚠ 9131 status 403
[09:37:32] ⚠ 1398 status 403
[09:37:32] ⚠ 4255 status 403
[09:37:32] ⚠ 27432 status 403
[09:37:32] ⚠ 1050768 status 403
[09:37:32] ⚠ 1020350 status 403
[09:37:32] ⚠ 7627 status 403
[09:37:32] ⚠ 4379 status 403
[09:37:32] ⚠ 1041211 status 403
[09:37:32] ⚠ 1088778 status 403
[09:37:32] ⚠ 5080 status 403
[09:37:32] ⚠ 1041566 status 403
[09:37:32] ⚠ 7260 status 403
[09:37:32] ⚠ 4425 status 403
[09:37:32] ⚠ 1026095 status 403
[09:37:32] ⚠ 1042822 status 403
[09:37:32] ⚠ 30441 status 403
[09:37:32] ⚠ 5105 status 403
[09:37:32] ⚠ 19289 status 403
[09:37:32] ⚠ 1009967 status 403
[09:37:32] ⚠ 1031640 status 403
[09:37:32] ⚠ 1031639 status 403
[09:37:32] ⚠ 1014297 status 403
[09:37:32] ⚠ 1054202 status 403
[09:37:32] ⚠ 6079 status 403
[09:37:32] ⚠ 1039748 status 403
[09:37:32] ⚠ 1041495 status 403
[09:37:32] ⚠ 19294 status 403
[09:37:32] ⚠ 1041691 status 403
[09:37:32] ⚠ 10268 status 403
[09:37:32] ⚠ 9176 status 403
[09:37:32] ⚠ 1033524 status 403
[09:37:32] ⚠ 26729 status 403
[09:37:32] ⚠ 1013662 status 403
[09:37:32] ⚠ 1055117 status 403
[09:37:32] ⚠ 43960 status 403
[09:37:32] ⚠ 54684 status 403
[09:37:32] ⚠ 29510 status 403
[09:37:32] ⚠ 24522 status 403
[09:37:32] ⚠ 7308 status 403
[09:37:32] ⚠ 32811 status 403
[09:37:32] ⚠ 1066216 status 403
[09:37:32] ⚠ 9497 status 403
[09:37:32] ⚠ 1041684 status 403
[09:37:32] ⚠ 1039923 status 403
[09:37:32] ⚠ 33645 status 403
[09:37:32] ⚠ 984 status 403
[09:37:32] ⚠ 9780 status 403
[09:37:32] ⚠ 12947 status 403
[09:37:32] ⚠ 1030384 status 403
[09:37:32] ⚠ 1018796 status 403
[09:37:32] ⚠ 9291 status 403
[09:37:32] ⚠ 482 status 403
[09:37:32] ⚠ 4714 status 403
[09:37:32] ⚠ 4881 status 403
[09:37:32] ⚠ 1008441 status 403
[09:37:32] ⚠ 1056146 status 403
[09:37:32] ⚠ 9527 status 403
[09:37:32] ⚠ 1041729 status 403
[09:37:32] ⚠ 9653 status 403
[09:37:32] ⚠ 1041782 status 403
[09:37:32] ⚠ 1039863 status 403
[09:37:32] ⚠ 476 status 403
[09:37:32] ⚠ 22884 status 403
[09:37:32] ⚠ 15614 status 403
[09:37:32] ⚠ 1065452 status 403
[09:37:32] ⚠ 5103 status 403
[09:37:32] ⚠ 1089364 status 403
[09:37:32] ⚠ 24767 status 403
[09:37:32] ⚠ 1049289 status 403
[09:37:32] ⚠ 1075662 status 403
[09:37:32] ⚠ 1049288 status 403
[09:37:32] ⚠ 1019544 status 403
[09:37:32] ⚠ 1078620 status 403
[09:37:32] ⚠ 6035 status 403
[09:37:32] ⚠ 1035939 status 403
[09:37:32] ⚠ 1054735 status 403
[09:37:32] ⚠ 1027244 status 403
[09:37:32] ⚠ 3976 status 403
[09:37:32] ⚠ 1041567 status 403
[09:37:32] ⚠ 14703 status 403
[09:37:32] ⚠ 62907 status 403
[09:37:32] ⚠ 1092992 status 403
[09:37:32] ⚠ 1004633 status 403
[09:37:32] ⚠ 5061 status 403
[09:37:32] ⚠ 27908 status 403
[09:37:32] ⚠ 1054736 status 403
[09:37:32] ⚠ 3906 status 403
[09:37:32] ⚠ 1024041 status 403
[09:37:32] ⚠ 26294 status 403
[09:37:32] ⚠ 1042215 status 403
[09:37:32] ⚠ 52682 status 403
[09:37:32] ⚠ 1056839 status 403
